time,voltage,
65.999999642E-3,3.15999985,
66.040001810E-3,3.13999987,
66.079996526E-3,3.17999983,
66.119998693E-3,3.19999981,
66.160000861E-3,3.17999983,
66.200003028E-3,3.15999985,
66.239997745E-3,3.17999983,
66.279999912E-3,3.15999985,
66.320002079E-3,3.15999985,
66.359996796E-3,3.17999983,
66.399998963E-3,3.15999985,
66.440001130E-3,3.13999987,
66.480003297E-3,3.15999985,
66.519998014E-3,3.13999987,
66.560000181E-3,3.15999985,
66.600002348E-3,3.15999985,
66.639997065E-3,3.13999987,
66.679999232E-3,3.13999987,
66.720001400E-3,3.15999985,
66.759996116E-3,3.15999985,
66.799998283E-3,3.13999987,
66.840000451E-3,3.15999985,
66.880002618E-3,3.13999987,
66.919997334E-3,3.13999987,
66.959999502E-3,3.13999987,
67.000001669E-3,3.13999987,
67.039996386E-3,3.15999985,
67.079998553E-3,3.13999987,
67.120000720E-3,3.13999987,
67.160002887E-3,3.11999989,
67.199997604E-3,3.13999987,
67.239999771E-3,3.11999989,
67.280001938E-3,3.13999987,
67.319996655E-3,3.13999987,
67.359998822E-3,3.11999989,
67.400000989E-3,3.13999987,
67.440003157E-3,3.11999989,
67.479997873E-3,3.13999987,
67.520000041E-3,3.13999987,
67.560002208E-3,3.11999989,
67.599996924E-3,3.13999987,
67.639999092E-3,3.11999989,
67.680001259E-3,3.11999989,
67.719995975E-3,3.11999989,
67.759998143E-3,3.09999990,
67.800000310E-3,3.11999989,
67.840002477E-3,3.11999989,
67.879997194E-3,3.11999989,
67.919999361E-3,3.09999990,
67.960001528E-3,3.09999990,
67.999996245E-3,3.11999989,
68.039998412E-3,3.09999990,
68.080000579E-3,3.09999990,
68.120002747E-3,3.09999990,
68.159997463E-3,3.13999987,
68.199999630E-3,3.09999990,
68.240001798E-3,3.09999990,
68.279996514E-3,3.09999990,
68.319998682E-3,3.09999990,
68.360000849E-3,3.09999990,
68.400003016E-3,3.09999990,
68.439997733E-3,3.09999990,
68.479999900E-3,3.07999992,
68.520002067E-3,3.09999990,
68.559996784E-3,3.09999990,
68.599998951E-3,3.07999992,
68.640001118E-3,3.07999992,
68.680003285E-3,3.07999992,
68.719998002E-3,3.07999992,
68.760000169E-3,3.07999992,
68.800002337E-3,3.07999992,
68.839997053E-3,3.07999992,
68.879999220E-3,3.07999992,
68.920001388E-3,3.07999992,
68.959996104E-3,3.07999992,
68.999998271E-3,3.07999992,
69.040000439E-3,3.07999992,
69.080002606E-3,3.07999992,
69.119997323E-3,3.05999994,
69.159999490E-3,3.07999992,
69.200001657E-3,3.07999992,
69.239996374E-3,3.05999994,
69.279998541E-3,3.05999994,
69.320000708E-3,3.05999994,
69.360002875E-3,3.05999994,
69.399997592E-3,3.07999992,
69.439999759E-3,3.07999992,
69.480001926E-3,3.05999994,
69.519996643E-3,3.03999996,
69.559998810E-3,3.03999996,
69.600000978E-3,3.07999992,
69.640003145E-3,3.03999996,
69.679997861E-3,3.03999996,
69.720000029E-3,3.05999994,
69.760002196E-3,3.05999994,
69.799996912E-3,3.07999992,
69.839999080E-3,3.03999996,
69.880001247E-3,3.05999994,
69.919995964E-3,3.05999994,
69.959998131E-3,3.05999994,
70.000000298E-3,3.05999994,
70.040002465E-3,3.05999994,
70.079997182E-3,3.05999994,
70.119999349E-3,3.07999992,
70.160001516E-3,3.07999992,
70.199996233E-3,3.05999994,
70.239998400E-3,3.05999994,
70.280000567E-3,3.05999994,
70.320002735E-3,3.05999994,
70.359997451E-3,3.05999994,
70.399999619E-3,3.07999992,
70.440001786E-3,3.07999992,
70.479996502E-3,3.07999992,
70.519998670E-3,3.07999992,
70.560000837E-3,3.07999992,
70.600003004E-3,3.07999992,
70.639997721E-3,3.05999994,
70.679999888E-3,3.07999992,
70.720002055E-3,3.07999992,
70.759996772E-3,3.09999990,
70.799998939E-3,3.09999990,
70.840001106E-3,3.07999992,
70.879995823E-3,3.09999990,
70.919997990E-3,3.07999992,
70.960000157E-3,3.09999990,
71.000002325E-3,3.09999990,
71.039997041E-3,3.09999990,
71.079999208E-3,3.07999992,
71.120001376E-3,3.09999990,
71.159996092E-3,3.07999992,
71.199998260E-3,3.09999990,
71.240000427E-3,3.11999989,
71.280002594E-3,3.09999990,
71.319997311E-3,3.09999990,
71.359999478E-3,3.09999990,
71.400001645E-3,3.11999989,
71.439996362E-3,3.09999990,
71.479998529E-3,3.09999990,
71.520000696E-3,3.09999990,
71.560002863E-3,3.11999989,
71.599997580E-3,3.11999989,
71.639999747E-3,3.09999990,
71.680001915E-3,3.11999989,
71.719996631E-3,3.11999989,
71.759998798E-3,3.11999989,
71.800000966E-3,3.11999989,
71.840003133E-3,3.09999990,
71.879997849E-3,3.13999987,
71.920000017E-3,3.11999989,
71.960002184E-3,3.13999987,
71.999996901E-3,3.13999987,
72.039999068E-3,3.11999989,
72.080001235E-3,3.13999987,
72.119995952E-3,3.11999989,
72.159998119E-3,3.13999987,
72.200000286E-3,3.13999987,
72.240002453E-3,3.13999987,
72.279997170E-3,3.13999987,
72.319999337E-3,3.13999987,
72.360001504E-3,3.11999989,
72.399996221E-3,3.13999987,
72.439998388E-3,3.13999987,
72.480000556E-3,3.15999985,
72.520002723E-3,3.15999985,
72.559997439E-3,3.13999987,
72.599999607E-3,3.15999985,
72.640001774E-3,3.13999987,
72.679996490E-3,3.15999985,
72.719998658E-3,3.15999985,
72.760000825E-3,3.15999985,
72.800002992E-3,3.15999985,
72.839997709E-3,3.15999985,
72.879999876E-3,3.17999983,
72.920002043E-3,3.15999985,
72.959996760E-3,3.15999985,
72.999998927E-3,3.15999985,
73.040001094E-3,3.17999983,
73.079995811E-3,3.15999985,
73.119997978E-3,3.15999985,
73.160000145E-3,3.15999985,
73.200002313E-3,3.17999983,
73.239997029E-3,3.17999983,
73.279999197E-3,3.17999983,
73.320001364E-3,3.17999983,
73.359996080E-3,3.19999981,
73.399998248E-3,3.17999983,
73.440000415E-3,3.15999985,
73.480002582E-3,3.17999983,
73.519997299E-3,3.15999985,
73.559999466E-3,3.17999983,
73.600001633E-3,3.17999983,
73.639996350E-3,3.15999985,
73.679998517E-3,3.17999983,
73.720000684E-3,3.19999981,
73.760002851E-3,3.19999981,
73.799997568E-3,3.19999981,
73.839999735E-3,3.17999983,
73.880001903E-3,3.19999981,
73.919996619E-3,3.17999983,
73.959998786E-3,3.19999981,
74.000000954E-3,3.19999981,
74.040003121E-3,3.19999981,
74.079997838E-3,3.19999981,
74.120000005E-3,3.22000003,
74.160002172E-3,3.22000003,
74.199996889E-3,3.19999981,
74.239999056E-3,3.22000003,
74.280001223E-3,3.22000003,
74.319995940E-3,3.19999981,
74.359998107E-3,3.22000003,
74.400000274E-3,3.17999983,
74.440002441E-3,3.22000003,
74.479997158E-3,3.19999981,
74.519999325E-3,3.22000003,
74.560001493E-3,3.19999981,
74.599996209E-3,3.22000003,
74.639998376E-3,3.22000003,
74.680000544E-3,3.22000003,
74.720002711E-3,3.19999981,
74.759997427E-3,3.22000003,
74.799999595E-3,3.22000003,
74.840001762E-3,3.22000003,
74.879996479E-3,3.19999981,
74.919998646E-3,3.22000003,
74.960000813E-3,3.22000003,
75.000002980E-3,3.22000003,
75.039997697E-3,3.22000003,
75.079999864E-3,3.22000003,
75.120002031E-3,3.19999981,
75.159996748E-3,3.19999981,
75.199998915E-3,3.19999981,
75.240001082E-3,3.19999981,
75.279995799E-3,3.19999981,
75.319997966E-3,3.22000003,
75.360000134E-3,3.22000003,
75.400002301E-3,3.19999981,
75.439997017E-3,3.22000003,
75.479999185E-3,3.22000003,
75.520001352E-3,3.22000003,
75.559996068E-3,3.22000003,
75.599998236E-3,3.22000003,
75.640000403E-3,3.22000003,
75.680002570E-3,3.22000003,
75.719997287E-3,3.19999981,
75.759999454E-3,3.22000003,
75.800001621E-3,3.19999981,
75.839996338E-3,3.19999981,
75.879998505E-3,3.19999981,
75.920000672E-3,3.17999983,
75.960002840E-3,3.22000003,
75.999997556E-3,3.19999981,
76.039999723E-3,3.19999981,
76.080001891E-3,3.22000003,
76.119996607E-3,3.19999981,
76.159998775E-3,3.17999983,
76.200000942E-3,3.17999983,
76.240003109E-3,3.17999983,
76.279997826E-3,3.19999981,
76.319999993E-3,3.17999983,
76.360002160E-3,3.15999985,
76.399996877E-3,3.15999985,
76.439999044E-3,3.15999985,
76.480001211E-3,3.17999983,
76.519995928E-3,3.17999983,
76.559998095E-3,3.15999985,
76.600000262E-3,3.15999985,
76.640002429E-3,3.13999987,
76.679997146E-3,3.15999985,
76.719999313E-3,3.13999987,
76.760001481E-3,3.13999987,
76.799996197E-3,3.13999987,
76.839998364E-3,3.13999987,
76.880000532E-3,3.11999989,
76.920002699E-3,3.15999985,
76.959997416E-3,3.15999985,
76.999999583E-3,3.13999987,
77.040001750E-3,3.13999987,
77.079996467E-3,3.13999987,
77.119998634E-3,3.11999989,
77.160000801E-3,3.11999989,
77.200002968E-3,3.11999989,
77.239997685E-3,3.09999990,
77.279999852E-3,3.11999989,
77.320002019E-3,3.11999989,
77.359996736E-3,3.09999990,
77.399998903E-3,3.09999990,
77.440001070E-3,3.09999990,
77.479995787E-3,3.11999989,
